12
ABC DEF 10
ABC GHI 0.0000000000005
ABC JKL 400000000
DEF ABC 0.1
DEF GHI 0.00000000000005
DEF JKL 40000000
GHI ABC 2000000000000
GHI DEF 20000000000000
GHI JKL 800000000000000000000
JKL ABC 0.0000000025
JKL DEF 0.000000025
JKL GHI 0.00000000000000000000125
10
3
1000 ABC
6890 DEF
43.3 GHI
866000000016890.0 DEF
3
1000 ABC
6890 DEF
43.3 GHI
43.30000000084450 GHI
10
1000 ABC
1000 DEF
1000 JKL
1000 JKL
1000 JKL
1000 JKL
1000 DEF
1000 ABC
1000 ABC
1000 ABC
10000.000 ABC
4
1000 ABC
1000 ABC
1000 ABC
1000 ABC
4000 ABC
8
1 ABC
1 DEF
1 GHI
1 JKL
200000.948 ABC
4720.4294 DEF
324.2 JKL
0.000003 GHI
32432 JKL
1
1.489 ABC
1.489 ABC
2
1.0 ABC
0.0 GHI
10.0 DEF
1
0.0 GHI
0.0 DEF
5
1234567890987654.976689 GHI
4567890876543456.374839 JKL
3456789098765.4758 JKL
2345678.738 ABC
4567890987654.3783 ABC
1234567890987657.26064138085114020277731329875 GHI
3
1.000001 ABC
10.000002 DEF
5.73782 GHI
5799.0330159786 JKL
