10
4
10 -> 2
5 -> 4
2 -> 6
8 -> 1
10
3 -> 4
1 -> 2
2 -> 3
6 -> 7
10 -> 1
8 -> 9
4 -> 5
9 -> 10
5 -> 6
7 -> 8
6
1 -> 15
2 -> 8
8 -> 3
9 -> 2
10 -> 2
11 -> 15
5
1 -> 5
10 -> 5
15 -> 5
5 -> 5
3 -> 5
1
3 -> 2502
4
1 -> 2
4 -> 3
3 -> 5
5 -> 4
6
1 -> 2
4 -> 5
3 -> 7
4 -> 6
5 -> 6
9 -> 6
3
3 -> 1
1 -> 2
2 -> 2
20
4 -> 5
6 -> 10
10 -> 3
13 -> 13
19 -> 31
21 -> 103
1031 -> 1
34 -> 31
13 -> 10
10 -> 25
23 -> 10
2 -> 20
2 -> 10
10 -> 32
21 -> 19
18 -> 19
32 -> 3
12 -> 1
1 -> 15
15 -> 2
6
3 -> 51
5 -> 52
7 -> 53
9 -> 54
54 -> 51
53 -> 50
