5
USA 1 ENGLAND 1
ENGLAND 1 SOUTHAFRICA 1
USA 1 IRAN 1
SOUTHAFRICA 1 IRAN 1
ENGLAND 1 IRAN 1
SOUTHAFRICA 1 USA 1
BRAZIL 3 SPAIN 1
IRAQ 5 FRANCE 2
FRANCE 1 BRAZIL 3
BRAZIL 3 IRAQ 0
SPAIN 2 IRAQ 2
SPAIN 4 FRANCE 4
SOUTHAFRICA 5 MEXICO 4
URAGUAY 3 FRANCE 0
SOUTHAFRICA 2 URAGUAY 2
FRANCE 0 MEXICO 2
MEXICO 0 URAGUAY 1
FRANCE 2 SOUTHAFRICA 4
ARGENTINA 1 NIGERIA 0
ENGLAND 1 SWEDEN 1
SWEDEN 2 NIGERIA 1
ARGENTINA 0 ENGLAND 1
SWEDEN 1 ARGENTINA 1
NIGERIA 0 ENGLAND 0
ITALY 5 SOUTHKOREA 4
ITALY 2 RUSSIA 0
SOUTHKOREA 2 RUSSIA 0
ITALY 1 IRAN 2
SOUTHKOREA 2 IRAN 1
IRAN 0 RUSSIA 0
 
