11
1
5 2 4
3
1 1 1
2 2 2
10 100 10
2
1 10 1
5 3 4
5
1 2 3
3 2 1
2 3 1
1 3 2
3 1 2
4
1 2 6
3 4 1
2 2 3
5 5 3
1
100 100 100
4
1 1 1
1 1 1
1 1 1
1 1 1
10
1 1 1
9 9 9
2 2 2
8 8 8
3 3 3
5 5 5
6 6 6
7 7 7
4 4 4
8 8 8
5
9 57 48
34 11 22
93 92 25
42 88 41
4 22 38
10
80 80 98
73 99 94
88 87 95
72 98 89
73 87 98
96 96 78
83 71 80
86 74 96
86 91 80
89 80 89
50
14 20 9
22 19 3
29 18 17
28 25 25
11 27 2
26 14 5
19 19 9
21 21 15
10 10 5
4 23 10
8 3 14
20 11 22
5 14 14
5 28 15
29 20 6
19 19 29
24 3 18
26 6 18
15 29 17
23 12 17
25 13 15
13 4 6
30 18 7
30 22 17
4 20 15
6 25 4
20 6 12
6 25 29
25 26 23
18 14 26
19 17 28
21 15 3
8 11 26
26 9 2
21 16 20
16 26 1
20 9 15
16 23 4
30 1 27
5 26 2
22 9 18
19 28 13
7 25 15
11 21 16
16 8 28
23 19 16
20 30 3
18 28 6
24 14 9
3 24 9
